Genome,Chromosome,Feature Type,Size,Relative Position
,chr1,Chromosome,250000000,-
,chr1,gene,1000,0.00% - 0.00%
,chr1,gene,1000,0.00% - 0.00%
,chr1,gene,1000,0.00% - 0.00%
,chr1,gene,1000,0.00% - 0.00%
,chr1,gene,1000,0.00% - 0.00%
,chr1,gene,1000,0.00% - 0.00%
,chr1,gene,1000,0.00% - 0.00%
,chr1,gene,1000,0.00% - 0.00%
,chr1,gene,1000,0.00% - 0.00%
,chr1,gene,1000,0.00% - 0.00%
,chr2,Chromosome,240000000,-
,chr2,gene,1000,0.00% - 0.00%
,chr2,gene,1000,0.00% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr2,gene,1000,0.01% - 0.01%
,chr3,Chromosome,200000000,-
,chr3,gene,1000,0.01% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
,chr3,gene,1000,0.02% - 0.02%
